cnpj;identificador_matriz_filial;razao_social;nome_fantasia;cnae_secundario;nm_cnae
"00003699000143";"1";"ASSOCIACAO RECREATIVA DOS FUNCIONARIOS E APOSENTADOS DO BANCO DA AMAZONIA S. A. DE GURUPI - BASA CLUBE DE GURUPI";"";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"00077719000120";"1";"SANTA FE CONSTRUCOES E INCORPORACOES LTDA";"SANTA FE CONSTRUCOES E INCORPORACOES";"4110700";"Incorporação de empreendimentos imobiliários"
"00077719000120";"1";"SANTA FE CONSTRUCOES E INCORPORACOES LTDA";"SANTA FE CONSTRUCOES E INCORPORACOES";"4120400";"Construção de edifícios"
"00077719000120";"1";"SANTA FE CONSTRUCOES E INCORPORACOES LTDA";"SANTA FE CONSTRUCOES E INCORPORACOES";"6810202";"Aluguel de imóveis próprios"
"00077719000120";"1";"SANTA FE CONSTRUCOES E INCORPORACOES LTDA";"SANTA FE CONSTRUCOES E INCORPORACOES";"6822600";"Gestão e administração da propriedade imobiliária"
"00266497000194";"1";"GREMIO RECR ESCOLA DE SAMBA UNIDOS DO PORTO DA PEDRA";"GRESUPP";"9493600";"Atividades de organizações associativas ligadas à cultura e à arte"
"00506865000124";"1";"ASSOCIACAO DOS PROFISSIONAIS DE SAUDE PUBLICA DO DISTRITO FEDERAL";"CLUBE DA SAUDE";"9321200";"Parques de diversão e parques temáticos"
"00511873000169";"1";"GEAC CONSTRUCOES E INCORPORACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"00511873000169";"1";"GEAC CONSTRUCOES E INCORPORACOES LTDA";"";"4120400";"Construção de edifícios"
"00631721000108";"1";"ASSOCIACAO ATLETICA BANCO DO BRASIL";"AABB BRASILIA";"9321200";"Parques de diversão e parques temáticos"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"4120400";"Construção de edifícios"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"6499999";"Outras atividades de serviços financeiros não especificadas anteriormente"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"6810202";"Aluguel de imóveis próprios"
"00690271000116";"1";"EGA - ADMINISTRACAO, PARTICIPACOES E SERVICOS LTDA";"";"6821802";"Corretagem no aluguel de imóveis"
"00712497000170";"1";"PARK WAY ADMINISTRACAO E PARTICIPACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"00712497000170";"1";"PARK WAY ADMINISTRACAO E PARTICIPACOES LTDA";"";"4120400";"Construção de edifícios"
"00712497000170";"1";"PARK WAY ADMINISTRACAO E PARTICIPACOES LTDA";"";"6810202";"Aluguel de imóveis próprios"
"00732115000170";"1";"BONDOK ADMINISTRACAO, INCORPORACOES E PARTICIPACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"00732115000170";"1";"BONDOK ADMINISTRACAO, INCORPORACOES E PARTICIPACOES LTDA";"";"4120400";"Construção de edifícios"
"00732115000170";"1";"BONDOK ADMINISTRACAO, INCORPORACOES E PARTICIPACOES LTDA";"";"6822600";"Gestão e administração da propriedade imobiliária"
"00766936000128";"1";"M M DE SOUZA AOYAMA";"CHACARA AOYAMA";"8230001";"Serviços de organização de feiras congressos exposições e festas"
"00766936000128";"1";"M M DE SOUZA AOYAMA";"CHACARA AOYAMA";"8230002";"Casas de festas e eventos"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"5590699";"Outros alojamentos não especificados anteriormente"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"5611201";"Restaurantes e similares"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"5611203";"Lanchonetes casas de chá de sucos e similares"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"8230001";"Serviços de organização de feiras congressos exposições e festas"
"00958191000107";"1";"GOLDEN PARK POUSADA E LAZER LTDA";"GOLDEN PARK";"9312300";"Clubes sociais esportivos e similares"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"5620102";"Serviços de alimentação para eventos e recepções - bufê"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"8230001";"Serviços de organização de feiras congressos exposições e festas"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"8230002";"Casas de festas e eventos"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"8800600";"Serviços de assistência social sem alojamento"
"01019827000100";"1";"JOQUEI CLUBE DE ANAPOLIS";"";"9319101";"Produção e promoção de eventos esportivos"
"01029934000119";"1";"JACARANDA NAUTICO CLUBE S/S LTDA";"";"9103100";"Atividades de jardins botânicos zoológicos parques nacionais reservas ecológicas e áreas de proteção ambiental"
"01118828000101";"1";"ASSOCIACAO DOS SUBTENENTES E SARGENTOS POLICIAIS MILITARES E BOMBEIROS MILITARES DO ESTADO DO RIO GRANDE DO NORTE";"CLUBE TIRADENTES";"9329899";"Outras atividades de recreação e lazer não especificadas anteriormente"
"01346121000152";"1";"DATA CONTRUCOES E PROJETOS LTDA";"";"4319300";"Serviços de preparação do terreno não especificados anteriormente"
"01369832000142";"1";"FANTASY ACQUA CLUB";"";"8630503";"Atividade médica ambulatorial restrita a consultas"
"01535160000106";"1";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
"01535160000106";"1";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4120400";"Construção de edifícios"
"01535160000106";"1";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"6810201";"Compra e venda de imóveis próprios"
"01535160000289";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000360";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"GRUPO OK CONSTRUCOES E INCORPORACOES";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000440";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"GRUPO OK CONSTRUCOES E INCORPORACOES";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000521";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000602";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000793";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160000874";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160001250";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01535160001501";"2";"GRUPO OK CONSTRUCOES E INCORPORACOES LTDA";"";"4299501";"Construção de instalações esportivas e recreativas"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"4619200";"Representantes comerciais e agentes do comércio de mercadorias em geral não especializado"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"7020400";"Atividades de consultoria em gestão empresarial exceto consultoria técnica específica"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"7490104";"Atividades de intermediação e agenciamento de serviços e negócios em geral exceto imobiliários"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"7739001";"Aluguel de máquinas e equipamentos para extração de minérios e petróleo sem operador"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"8591100";"Ensino de esportes"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"9311500";"Gestão de instalações de esportes"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"9312300";"Clubes sociais esportivos e similares"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"9313100";"Atividades de condicionamento físico"
"01596397000199";"1";"REPHA DIVULGACAO GESTAO ESPORTIVA E LAZER LTDA";"LABANCA";"9319199";"Outras atividades esportivas não especificadas anteriormente"
"01599752000183";"1";"EPS PRESTACAO DE SERVICO NA CONSTRUCAO CIVIL LTDA";"";"4110700";"Incorporação de empreendimentos imobiliários"
