cnpj;cnpj_basico;matriz_filial;razao_social;nome_fantasia;situacao_cadastral;data_situacao_cadastral;motivo_situacao_cadastral;nome_cidade_exterior;cd_pais;nm_pais;cd_natureza_juridica;nm_natureza_juridica;data_inicio_atividades;cnae_fiscal;nm_cnae;cnae_fiscal_secundaria;tipo_logradouro;logradouro;numero;complemento;bairro;cep;uf;municipio;ddd1;telefone1;ddd2;telefone2;ddd_fax;fax;correio_eletronico;situacao_especial;data_situacao_especial;qualificacao_responsavel;capital_social;capital_social_str;porte_empresa;ente_federativo_responsavel
00003699000143;00003699;1;ASSOCIACAO RECREATIVA DOS FUNCIONARIOS E APOSENTADOS DO BANCO DA AMAZONIA S. A. DE GURUPI - BASA CLUBE DE GURUPI;;02;20190225;00;;;;3999;Associação Privada;19820723;9312300;Clubes sociais, esportivos e similares;9493600;AVENIDA;ANTONIO NUNES DA SILVA;2695;LOTE  PTE LT 06 A GL 08;RESIDENCIAL PARQUE DAS ACACIAS;77425500;TO;9385;63;33014732;;;;;JOAQUIM.COSTA@BANCOAMAZONIA.COM.BR;;;16;0;0,00;05;
00004648000136;00004648;1;IATE THERMAS CLUBE DE CACHOEIRA DOURADA DE GOIAS;IATE THERMAS CLUBE;02;20210628;00;;;;3999;Associação Privada;19820503;9312300;Clubes sociais, esportivos e similares;;FAZENDA;CACHOEIRA DOURADA;S/N;;CACHOEIRA DOURADA;75526060;GO;9425;;;;;;;;;;16;0;0,00;05;
00005678000167;00005678;1;CALDAS ESPORTE CLUBE - CEC;CEC;04;20201022;63;;;;3999;Associação Privada;19820225;9312300;Clubes sociais, esportivos e similares;;RUA;MACHADO DE ASSIS;325;"QUADRA: 08; LOTE: 03-A;";THERMAL;75680001;GO;9289;64;96432000;;;;;;;;16;0;0,00;05;
00006643000142;00006643;1;ASSOCIACAO ATLETICA BANCO DO BRASIL DE QUIRINOPOLIS;AABB QUIRINOPOLIS;02;20001209;00;;;;3999;Associação Privada;19811209;9312300;Clubes sociais, esportivos e similares;;RUA;22 DE JANEIRO;S/N;;CENTRO;75860000;GO;9563;;;;;;;;;;16;0;0,00;05;
00006791000167;00006791;1;COUNTRY CLUBE DE RIO VERDE;COUNTRY CLUBE;04;20181106;63;;;;3999;Associação Privada;19821109;9312300;Clubes sociais, esportivos e similares;;FAZENDA;SAO TOMAZ LAGE;S/N;GO60RM15;ZONA RURAL;75902261;GO;9571;;;;;;;;;;16;0;0,00;05;
00015776000185;00015776;1;CLUBE BALNEARIO MEIA PONTE;;08;20081231;71;;;;3999;Associação Privada;19820128;9312300;Clubes sociais, esportivos e similares;;RUA;QUATRO;892;1 ANDAR;CENTRO;74465539;GO;9373;;;;;;;;;;16;0;0,00;05;
00027888000156;00027888;1;ITATIAIA DAS THERMAS;;02;20051103;00;;;;3999;Associação Privada;19830704;9312300;Clubes sociais, esportivos e similares;;AVENIDA;ORCALINO SANTOS;S/N;;CENTRO;75680001;GO;9289;;;;;;;;;;16;0;0,00;05;
00037705000183;00037705;1;ESTANCIA TANGARA HOTEL PRAIA CLUBE;TANGARA HOTEL PRAIA CLUBE;04;20180904;63;;;;3999;Associação Privada;19820212;9312300;Clubes sociais, esportivos e similares;;;LOC  JARDIM ROSA DO SUL;S/N;;JARDIM ROSA DO SUL;74912390;GO;9227;;;;;;;;;;16;0;0,00;05;
00039248000166;00039248;1;MINAS BRASILIA TENIS CLUBE;;02;20011201;00;;;;3999;Associação Privada;19670130;9312300;Clubes sociais, esportivos e similares;;;SCEN,TRECHO;3;CONJ 6;ASA NORTE;70800200;DF;9701;061;3479559;;;;;;;;16;0;0,00;05;
00044628000199;00044628;1;CALDAS NOVAS ATLETICO CLUBE;;02;20070719;00;;;;3999;Associação Privada;19820510;9312300;Clubes sociais, esportivos e similares;;RUA;CAPITAO JOAO CRISOSTOMO;251;SALA  20;CENTRO;75680001;GO;9289;64;34536910;;;64;34536910;eccnovas@yahoo.com.br;;;16;0;0,00;05;
00063777000103;00063777;1;SOCIEDADE RECREATIVA TOCANTINENSE;;02;19980728;00;;;;3999;Associação Privada;19940426;9312300;Clubes sociais, esportivos e similares;;RUA;ESCRIVAO CASTRO;127;;CENTRO;36512000;MG;5379;32;35741241;32;35743724;32;35741241;COPELMG@UOL.COM.BR;;;16;0;0,00;05;
00077719000120;00077719;1;SANTA FE CONSTRUCOES E INCORPORACOES LTDA;SANTA FE CONSTRUCOES E INCORPORACOES;02;20180605;00;;;;2062;Sociedade Empresária Limitada;19720508;6810202;Aluguel de imóveis próprios;4110700,4120400,6810201,6822600;QUADRA;SHIS QI 15 CHACARA;52;;SETOR DE HABITACOES INDIVIDUAIS SUL;71600790;DF;9701;61;32488705;;;61;32488793;CONTATO@SANTAFECONSTRUCOES.COM.BR;;;49;1000;1000,00;05;
00079368000197;00079368;1;ASSOCIACAO DESPORTIVA E CLASSISTA DOS FUNCIONARIOS E ASSOCIADOS DA COMIVA;AFUCOMIVA;02;19980728;00;;;;3999;Associação Privada;19841121;9312300;Clubes sociais, esportivos e similares;;RUA;DA SERRARIA;S/N;CHACARA MODELO;ZONA SUB-URBANA;75830002;GO;9459;062;6611400;;;062;6611141;;;;16;0;0,00;05;
00079590000190;00079590;1;CAMPINAS FUTEBOL CLUBE;CAMPINAS FUTEBOL CLUBE;02;20001223;00;;;;3999;Associação Privada;19820520;9312300;Clubes sociais, esportivos e similares;;RUA;I;S/N;EST VALTRUDES CUNHA;VILA SANTA HELENA;74555050;GO;9373;;;;;;;;;;16;0;0,00;05;
00079665000132;00079665;1;ASSOCIACAO ESPORTIVA DOS EMPREGADOS DA CELG S A;A E C D;02;20180911;00;;;;3999;Associação Privada;19820511;9312300;Clubes sociais, esportivos e similares;;VILA;OPERARIA;S/N;;CANTEIRO DE OBRAS;75560000;GO;9673;;;;;;;;;;16;0;0,00;05;
00082823000103;00082823;1;ASSOCIACAO DOS FUNC.DA ITAIPU BINAC.DE STA HELENA;AFISAH;08;20200527;01;;;;3999;Associação Privada;19940504;9312300;Clubes sociais, esportivos e similares;;AVENIDA;BRASIL;S/N;;CENTRO;85892000;PR;7971;;;;;;;;;;16;0;0,00;05;
